customerID,Contract,InternetService,PaymentMethod,tenure,tenure_band,MonthlyCharges,TotalCharges,addon_count,churned,churn_probability,decile
7590-VHVEG,Month-to-month,DSL,Electronic check,1,0-6m,29.85,29.85,1,0,0.5847794746052314,2
5575-GNVDE,One year,DSL,Mailed check,34,24-48m,56.95,1889.5,2,0,0.046356163008591786,8
3668-QPYBK,Month-to-month,DSL,Mailed check,2,0-6m,53.85,108.15,2,1,0.29297182242815434,4
7795-CFOCW,One year,DSL,Bank transfer (automatic),45,24-48m,42.3,1840.75,3,0,0.03657680149744103,8
9237-HQITU,Month-to-month,Fiber optic,Electronic check,2,0-6m,70.7,151.65,0,1,0.6979725514735585,1
9305-CDSKC,Month-to-month,Fiber optic,Electronic check,8,6-12m,99.65,820.5,3,1,0.8146827027535273,1
1452-KIOVK,Month-to-month,Fiber optic,Credit card (automatic),22,12-24m,89.1,1949.4,2,0,0.5394516826099025,2
6713-OKOMC,Month-to-month,DSL,Mailed check,10,6-12m,29.75,301.9,1,0,0.2792718408929292,4
7892-POOKP,Month-to-month,Fiber optic,Electronic check,28,24-48m,104.8,3046.05,4,1,0.5920007084458839,2
6388-TABGU,One year,DSL,Bank transfer (automatic),62,48-72m,56.15,3487.95,2,0,0.015495677142487582,9
9763-GRSKD,Month-to-month,DSL,Mailed check,13,12-24m,49.95,587.45,1,0,0.19572797202148653,5
7469-LKBCI,Two year,No,Credit card (automatic),16,12-24m,18.95,326.8,0,0,0.03358240320854918,8
8091-TTVAX,One year,Fiber optic,Credit card (automatic),58,48-72m,100.35,5681.1,3,0,0.1466111016042692,6
0280-XJGEX,Month-to-month,Fiber optic,Bank transfer (automatic),49,48-72m,103.7,5036.3,4,1,0.40182634489341057,3
5129-JLPIS,Month-to-month,Fiber optic,Electronic check,25,24-48m,105.5,2686.05,5,0,0.46960928552033654,3
3655-SNQYZ,Two year,Fiber optic,Credit card (automatic),69,48-72m,113.25,7895.15,6,0,0.025968097055668438,9
8191-XWSZG,One year,No,Mailed check,52,48-72m,20.65,1022.95,0,0,0.01713839441497361,9
9959-WOFKT,Two year,Fiber optic,Bank transfer (automatic),71,48-72m,106.7,7382.25,4,0,0.03627215048599147,8
4190-MFLUW,Month-to-month,DSL,Credit card (automatic),10,6-12m,55.2,528.35,2,1,0.1607565478815574,6
4183-MYFRB,Month-to-month,Fiber optic,Electronic check,21,12-24m,90.05,1862.9,3,0,0.5858381117807523,2
8779-QRDMV,Month-to-month,DSL,Electronic check,1,0-6m,39.65,39.65,2,1,0.7197750029424176,1
1680-VDCWW,One year,No,Bank transfer (automatic),12,12-24m,19.8,202.25,0,0,0.059900696097810444,8
1066-JKSGK,Month-to-month,No,Mailed check,1,0-6m,20.15,20.15,0,1,0.16619527181814417,6
3638-WEABW,Two year,DSL,Credit card (automatic),58,48-72m,59.9,3505.1,2,0,0.021029583630339528,9
6322-HRPFA,Month-to-month,DSL,Credit card (automatic),49,48-72m,59.6,2970.3,3,0,0.03299200329274872,8
6865-JZNKO,Month-to-month,DSL,Bank transfer (automatic),30,24-48m,55.3,1530.6,2,0,0.13544562701848953,6
6467-CHFZW,Month-to-month,Fiber optic,Electronic check,47,24-48m,99.35,4749.15,3,1,0.4728513588182159,3
8665-UTDHZ,Month-to-month,DSL,Electronic check,1,0-6m,30.2,30.2,1,1,0.4604643557157483,3
5248-YGIJN,Two year,DSL,Credit card (automatic),72,72m+,90.25,6369.45,6,0,0.015465294537903974,9
8773-HHUOZ,Month-to-month,DSL,Mailed check,17,12-24m,64.7,1093.1,2,1,0.3664047482249029,4
3841-NFECX,Two year,Fiber optic,Credit card (automatic),71,48-72m,96.35,6766.95,4,0,0.0262759700292696,9
4929-XIHVW,Month-to-month,Fiber optic,Credit card (automatic),2,0-6m,95.5,181.65,3,0,0.7504978996485144,1
6827-IEAUQ,One year,DSL,Mailed check,27,24-48m,66.15,1874.45,4,0,0.03126452008650973,9
7310-EGVHZ,Month-to-month,No,Bank transfer (automatic),1,0-6m,20.2,20.2,0,0,0.16665395028599564,6
3413-BMNZE,Month-to-month,DSL,Bank transfer (automatic),1,0-6m,45.25,45.25,0,0,0.36455089288549064,4
6234-RAAPL,Two year,Fiber optic,Bank transfer (automatic),72,72m+,99.9,7251.7,4,0,0.017870739901784605,9
6047-YHPVI,Month-to-month,Fiber optic,Electronic check,5,0-6m,69.7,316.9,0,1,0.68155180439251,1
6572-ADKRS,Month-to-month,Fiber optic,Credit card (automatic),46,24-48m,74.8,3548.3,1,0,0.25774632887764526,5
5380-WJKOV,Month-to-month,Fiber optic,Electronic check,34,24-48m,106.35,3549.25,4,1,0.6174571524565465,2
8168-UQWWF,Month-to-month,Fiber optic,Bank transfer (automatic),11,6-12m,97.85,1105.4,3,1,0.7285527234595124,1
8865-TNMNX,One year,DSL,Mailed check,10,6-12m,49.55,475.7,1,0,0.11123735532030392,7
9489-DEDVP,Two year,DSL,Credit card (automatic),70,48-72m,69.2,4872.35,3,0,0.01680379276164316,9
9867-JCZSP,One year,No,Mailed check,17,12-24m,20.75,418.25,0,0,0.043293526691787834,8
4671-VJLCL,Two year,DSL,Credit card (automatic),63,48-72m,79.85,4861.45,5,0,0.017848618566682767,9
4080-IIARD,Month-to-month,DSL,Electronic check,13,12-24m,76.2,981.45,4,0,0.3321450997653367,4
3714-NTNFO,Month-to-month,Fiber optic,Electronic check,49,48-72m,84.5,3906.7,1,0,0.45399678010441996,3
5948-UJZLF,Month-to-month,DSL,Mailed check,2,0-6m,49.25,97.0,1,0,0.2948524576318058,4
7760-OYPDY,Month-to-month,Fiber optic,Electronic check,2,0-6m,80.65,144.15,1,1,0.759760276182871,1
7639-LIAYI,Two year,DSL,Credit card (automatic),52,48-72m,79.75,4217.8,4,0,0.0361120358916421,8
2954-PIBKO,Two year,DSL,Credit card (automatic),69,48-72m,64.15,4254.1,3,0,0.00955811565545903,10
8012-SOUDQ,Month-to-month,Fiber optic,Electronic check,43,24-48m,90.25,3838.75,2,0,0.5498580859587576,2
9420-LOJKX,Month-to-month,Fiber optic,Credit card (automatic),15,12-24m,99.1,1426.4,4,1,0.532182078512396,3
6575-SUVOI,Month-to-month,DSL,Credit card (automatic),25,24-48m,69.5,1752.65,3,0,0.23641020303944807,5
7495-OOKFY,Month-to-month,Fiber optic,Credit card (automatic),8,6-12m,80.65,633.3,1,1,0.6380350601567092,2
4667-QONEA,One year,DSL,Credit card (automatic),60,48-72m,74.85,4456.35,5,0,0.024568212095217395,9
1658-BYGOY,Month-to-month,Fiber optic,Electronic check,18,12-24m,95.45,1752.55,2,1,0.7964517751756109,1
8769-KKTPH,One year,Fiber optic,Credit card (automatic),63,48-72m,99.65,6311.2,3,0,0.11356375576184331,7
5067-XJQFU,One year,Fiber optic,Electronic check,66,48-72m,108.45,7076.35,5,0,0.1682367133343966,6
3957-SQXML,Two year,No,Credit card (automatic),34,24-48m,24.95,894.3,0,0,0.01940513414786782,9
5954-BDFSG,Two year,Fiber optic,Credit card (automatic),72,72m+,107.5,7853.7,4,0,0.05678226182696079,8
0434-CSFON,Month-to-month,Fiber optic,Electronic check,47,24-48m,100.5,4707.1,3,0,0.5182163688264851,3
1215-FIGMP,Month-to-month,Fiber optic,Bank transfer (automatic),60,48-72m,89.9,5450.7,2,0,0.2658632563794466,5
0526-SXDJP,Two year,DSL,Bank transfer (automatic),72,72m+,42.1,2962.0,3,0,0.010265044167425835,10
0557-ASKVU,One year,DSL,Credit card (automatic),18,12-24m,54.4,957.1,2,0,0.09408646231452289,7
5698-BQJOH,Month-to-month,Fiber optic,Electronic check,9,6-12m,94.4,857.25,2,1,0.7558871577614101,1
5122-CYFXA,Month-to-month,DSL,Electronic check,3,0-6m,75.3,244.1,4,0,0.5132423626238037,3
8627-ZYGSZ,One year,Fiber optic,Electronic check,47,24-48m,78.9,3650.35,1,0,0.229008877954719,5
3410-YOQBQ,Two year,DSL,Mailed check,31,24-48m,79.2,2497.2,5,0,0.04879343776572104,8
3170-NMYVV,Two year,No,Bank transfer (automatic),50,48-72m,20.15,930.9,0,0,0.008354662492144524,10
7410-OIEDU,Month-to-month,Fiber optic,Mailed check,10,6-12m,79.85,887.35,2,0,0.4404602529253743,3
2273-QCKXA,Month-to-month,DSL,Mailed check,1,0-6m,49.05,49.05,1,0,0.24894021563099536,5
0731-EBJQB,One year,No,Electronic check,52,48-72m,20.4,1090.65,0,0,0.029941089031933477,9
1891-QRQSA,Two year,Fiber optic,Bank transfer (automatic),64,48-72m,111.6,7099.0,5,0,0.0515861790598564,8
8028-PNXHQ,Two year,No,Bank transfer (automatic),62,48-72m,24.25,1424.6,0,0,0.010726710489485692,10
5630-AHZIL,Month-to-month,DSL,Bank transfer (automatic),3,0-6m,64.5,177.4,3,0,0.24949065606939416,5
2673-CXQEU,One year,Fiber optic,Electronic check,56,48-72m,110.5,6139.5,5,0,0.1909950018212614,5
6416-JNVRK,One year,DSL,Credit card (automatic),46,24-48m,55.65,2688.85,1,0,0.06067048477752985,8
5590-ZSKRV,Month-to-month,DSL,Mailed check,8,6-12m,54.65,482.25,2,0,0.15846068812557748,6
0191-ZHSKZ,Month-to-month,DSL,Electronic check,30,24-48m,74.75,2111.3,4,0,0.3466625558323095,4
3887-PBQAO,One year,No,Credit card (automatic),45,24-48m,25.9,1216.6,0,0,0.032926797073158647,8
5919-TMRGD,Month-to-month,Fiber optic,Electronic check,1,0-6m,79.35,79.35,1,1,0.744594498137678,1
8108-UXRQN,Month-to-month,DSL,Electronic check,11,6-12m,50.55,565.35,3,0,0.44330600514266466,3
9191-MYQKX,Month-to-month,Fiber optic,Bank transfer (automatic),7,6-12m,75.15,496.9,1,1,0.537064656875203,2
9919-YLNNG,Month-to-month,Fiber optic,Bank transfer (automatic),42,24-48m,103.8,4327.5,5,0,0.307900175973486,4
0318-ZOPWS,Two year,No,Bank transfer (automatic),49,48-72m,20.15,973.35,0,0,0.014057148762793313,10
4445-ZJNMU,Month-to-month,Fiber optic,Credit card (automatic),9,6-12m,99.3,918.75,3,0,0.7269055306515839,1
4808-YNLEU,One year,DSL,Bank transfer (automatic),35,24-48m,62.15,2215.45,2,0,0.07933431446793862,7
1862-QRWPE,Two year,No,Bank transfer (automatic),48,48-72m,20.65,1057.0,0,0,0.008824602237155754,10
2796-NNUFI,Two year,No,Mailed check,46,24-48m,19.95,927.1,0,0,0.0134441337631523,10
3016-KSVCP,Month-to-month,DSL,Mailed check,29,24-48m,33.75,1009.25,1,0,0.2766697107081889,4
4767-HZZHQ,Month-to-month,Fiber optic,Bank transfer (automatic),30,24-48m,82.05,2570.2,2,0,0.22274153968587165,5
2424-WVHPL,Month-to-month,Fiber optic,Electronic check,1,0-6m,74.7,74.7,1,0,0.6008299236167686,2
7233-PAHHL,Two year,DSL,Mailed check,66,48-72m,84.0,5714.25,5,0,0.0178311063629954,9
6067-NGCEU,Month-to-month,Fiber optic,Credit card (automatic),65,48-72m,111.05,7107.0,5,0,0.20827937100877209,5
9848-JQJTX,Two year,Fiber optic,Bank transfer (automatic),72,72m+,100.9,7459.05,4,0,0.08301907009111302,7
8637-XJIVR,Month-to-month,Fiber optic,Electronic check,12,12-24m,78.95,927.35,1,1,0.6147124993388634,2
9803-FTJCG,One year,DSL,Credit card (automatic),71,48-72m,66.85,4748.7,3,0,0.014111541106215859,10
0278-YXOOG,Month-to-month,No,Mailed check,5,0-6m,21.05,113.85,0,1,0.14564304116753732,6
3212-KXOCR,Two year,No,Bank transfer (automatic),52,48-72m,21.0,1107.2,0,0,0.009538293610536009,10
4598-XLKNJ,Month-to-month,Fiber optic,Electronic check,25,24-48m,98.5,2514.5,4,1,0.6689347426170038,1
6380-ARCEH,Month-to-month,No,Mailed check,1,0-6m,20.2,20.2,0,0,0.16602774090742256,6
3679-XASPY,Month-to-month,No,Electronic check,1,0-6m,19.45,19.45,0,0,0.2015088054179025,5
7123-WQUHX,One year,Fiber optic,Bank transfer (automatic),38,24-48m,95.0,3605.6,3,0,0.16437063085285888,6
5386-THSLQ,One year,DSL,Bank transfer (automatic),66,48-72m,45.55,3027.25,3,0,0.05488241979867942,8
3192-NQECA,Two year,Fiber optic,Bank transfer (automatic),68,48-72m,110.0,7611.85,5,1,0.05740298748370303,8
6180-YBIQI,Month-to-month,DSL,Mailed check,5,0-6m,24.3,100.2,0,0,0.40028904957611045,3
6728-DKUCO,One year,Fiber optic,Electronic check,72,72m+,104.15,7303.05,4,0,0.11732792546494296,6
9750-BOOHV,One year,DSL,Mailed check,32,24-48m,30.15,927.65,1,0,0.08269878125332275,7
8597-CWYHH,One year,Fiber optic,Mailed check,43,24-48m,94.35,3921.3,2,0,0.23842818055262444,5
2848-YXSMW,Two year,No,Credit card (automatic),72,72m+,19.4,1363.25,0,0,0.004167743333373705,10
0486-HECZI,Month-to-month,Fiber optic,Electronic check,55,48-72m,96.75,5238.9,3,1,0.289880415754863,4
4549-ZDQYY,One year,DSL,Credit card (automatic),52,48-72m,57.95,3042.25,3,0,0.02057792040724986,9
5712-AHQNN,Month-to-month,Fiber optic,Electronic check,43,24-48m,91.65,3954.1,3,0,0.4106092127126072,3
4846-WHAFZ,Month-to-month,Fiber optic,Electronic check,37,24-48m,76.5,2868.15,0,1,0.5175456215609864,3
5256-SKJGO,Two year,DSL,Electronic check,64,48-72m,54.6,3423.5,4,0,0.046606581681146814,8
3071-VBYPO,Month-to-month,Fiber optic,Electronic check,3,0-6m,89.85,248.4,3,0,0.5296718698316764,3
9560-BBZXK,Two year,DSL,Bank transfer (automatic),36,24-48m,31.05,1126.35,1,0,0.04117690709001265,8
5299-RULOA,Month-to-month,Fiber optic,Electronic check,10,6-12m,100.25,1064.65,3,1,0.6975746448911275,1
8402-OOOHJ,Two year,No,Mailed check,41,24-48m,20.65,835.15,0,0,0.01380533266311353,10
9445-ZUEQE,Month-to-month,Fiber optic,Credit card (automatic),27,24-48m,85.2,2151.6,2,0,0.31407567643577705,4
1091-SOZGA,One year,Fiber optic,Credit card (automatic),56,48-72m,99.8,5515.45,3,0,0.18522454566612861,5
2928-HLDBA,Month-to-month,No,Mailed check,6,6-12m,20.7,112.75,0,0,0.14253773777514944,6
0404-SWRVG,Month-to-month,Fiber optic,Electronic check,3,0-6m,74.4,229.55,0,1,0.754691938037132,1
6497-TILVL,Month-to-month,DSL,Mailed check,7,6-12m,50.7,350.35,1,0,0.17144242417959998,6
7219-TLZHO,Month-to-month,No,Mailed check,4,0-6m,20.85,62.9,0,0,0.12430838950197805,6
4622-YNKIJ,Two year,Fiber optic,Electronic check,33,24-48m,88.95,3027.65,3,0,0.1335266402172748,6
4412-YLTKF,Month-to-month,Fiber optic,Electronic check,27,24-48m,78.05,2135.5,1,1,0.6323015142192304,2
6734-PSBAW,Two year,No,Bank transfer (automatic),72,72m+,23.55,1723.95,0,0,0.009037514210069902,10
3930-ZGWVE,Month-to-month,No,Mailed check,1,0-6m,19.75,19.75,0,0,0.1675403942751864,6
2639-UGMAZ,One year,DSL,Electronic check,71,48-72m,56.45,3985.35,4,0,0.09289070367205286,7
2876-GZYZC,Month-to-month,Fiber optic,Electronic check,13,12-24m,85.95,1215.65,1,0,0.7294140750845893,1
6207-WIOLX,Month-to-month,DSL,Credit card (automatic),25,24-48m,58.6,1502.65,5,1,0.30397762681247215,4
8587-XYZSF,Two year,DSL,Bank transfer (automatic),67,48-72m,50.55,3260.1,1,0,0.009426977647355759,10
3091-FYHKI,Month-to-month,DSL,Electronic check,1,0-6m,35.45,35.45,1,1,0.674988347736895,1
2372-HWUHI,Month-to-month,DSL,Electronic check,2,0-6m,44.35,81.25,0,1,0.4139265612840099,3
7799-LGRDP,Two year,No,Credit card (automatic),43,24-48m,25.7,1188.2,0,0,0.024696806694109865,9
7850-VWJUU,Month-to-month,Fiber optic,Bank transfer (automatic),23,12-24m,75.0,1778.5,1,0,0.3423783610853598,4
3774-VBNXY,Two year,No,Mailed check,64,48-72m,20.2,1277.75,0,0,0.005202930268920806,10
6217-KDYWC,Two year,No,Mailed check,57,48-72m,19.6,1170.55,0,0,0.010128253172524842,10
0390-DCFDQ,Month-to-month,Fiber optic,Mailed check,1,0-6m,70.45,70.45,0,1,0.6406029899968505,2
3146-MSEGF,Two year,DSL,Credit card (automatic),72,72m+,88.05,6425.65,6,0,0.017454115123898183,9
4080-OGPJL,Month-to-month,DSL,Electronic check,8,6-12m,71.15,563.65,3,1,0.3133309029012335,4
1095-WGNGG,Two year,Fiber optic,Bank transfer (automatic),61,48-72m,101.05,5971.25,3,0,0.09899328939782792,7
2636-SJDOU,One year,Fiber optic,Credit card (automatic),64,48-72m,84.3,5289.05,2,0,0.07594038265879835,7
1131-QQZEB,Two year,No,Bank transfer (automatic),71,48-72m,23.95,1756.2,0,0,0.008138072523420034,10
5716-EZXZN,Two year,Fiber optic,Credit card (automatic),65,48-72m,99.05,6416.7,4,0,0.03285966216377732,9
6837-BJYDQ,One year,No,Mailed check,3,0-6m,19.6,61.35,0,0,0.08509216587798198,7
2135-RXIHG,Month-to-month,DSL,Electronic check,1,0-6m,45.65,45.65,0,1,0.5001015176596135,3
6440-DKQGE,One year,DSL,Credit card (automatic),30,24-48m,64.5,1929.95,3,0,0.08639459616348605,7
3466-BYAVD,Month-to-month,DSL,Mailed check,15,12-24m,69.5,1071.4,4,0,0.20930746074257706,5
3780-YVMFA,Month-to-month,DSL,Electronic check,8,6-12m,68.55,564.35,3,0,0.44808267351776904,3
3874-EQOEP,Month-to-month,Fiber optic,Mailed check,7,6-12m,95.0,655.5,2,1,0.6775391703927784,1
1679-JRFBR,One year,Fiber optic,Credit card (automatic),70,48-72m,108.15,7930.55,5,0,0.08602091786617065,7
9073-ZZIAY,Two year,DSL,Electronic check,62,48-72m,86.1,5215.25,6,0,0.014704158451321604,10
3077-RSNTJ,Month-to-month,No,Mailed check,6,6-12m,19.7,113.5,0,0,0.12007464969549539,6
6551-GNYDG,Month-to-month,Fiber optic,Bank transfer (automatic),14,12-24m,80.9,1152.8,1,0,0.5033251565053835,3
9167-APMXZ,Month-to-month,Fiber optic,Bank transfer (automatic),22,12-24m,84.15,1821.95,1,0,0.590738963886594,2
2749-CTKAJ,One year,No,Mailed check,22,12-24m,20.15,419.9,0,0,0.037355257570969067,8
6371-NZYEG,Two year,DSL,Mailed check,16,12-24m,64.25,1024.0,3,0,0.05458822797769837,8
7554-NEWDD,Two year,No,Bank transfer (automatic),10,6-12m,25.7,251.6,0,0,0.05049199856016483,8
8992-VONJD,Month-to-month,DSL,Electronic check,13,12-24m,56.0,764.55,2,0,0.267171044299945,5
0867-MKZVY,Month-to-month,Fiber optic,Electronic check,20,12-24m,82.4,1592.35,1,1,0.4239717025637247,3
4482-EWFMI,Month-to-month,Fiber optic,Electronic check,2,0-6m,69.7,135.2,0,0,0.7030472026792423,1
4648-YPBTM,Two year,DSL,Bank transfer (automatic),53,48-72m,73.9,3958.25,4,0,0.0330291900464511,8
2907-ILJBN,One year,No,Mailed check,11,6-12m,20.6,233.9,0,0,0.05265069772222177,8
6345-FZOQH,Two year,No,Mailed check,69,48-72m,19.9,1363.45,0,0,0.00512839694810914,10
3376-BMGFE,Month-to-month,Fiber optic,Bank transfer (automatic),4,0-6m,70.9,273.0,0,1,0.5816359873950917,2
5997-OPVFA,Two year,DSL,Bank transfer (automatic),72,72m+,89.05,6254.45,6,0,0.015566292744679487,9
3445-HXXGF,Month-to-month,DSL,Electronic check,58,48-72m,45.3,2651.2,3,1,0.24024845683016782,5
1159-WFSGR,Month-to-month,No,Electronic check,16,12-24m,20.4,321.4,0,0,0.12959298171247463,6
7654-YWJUF,One year,Fiber optic,Bank transfer (automatic),43,24-48m,84.25,3539.25,3,0,0.07793162034729935,7
1875-QIVME,Month-to-month,Fiber optic,Electronic check,2,0-6m,104.4,242.8,4,1,0.778460497041575,1
6727-IOTLZ,Two year,DSL,Mailed check,14,12-24m,81.95,1181.75,5,0,0.07311860759601975,7
0691-JVSYA,One year,Fiber optic,Bank transfer (automatic),53,48-72m,94.85,5000.2,3,1,0.17568027074872816,6
5918-VUKWP,One year,No,Bank transfer (automatic),32,24-48m,20.55,654.55,0,0,0.033269141787222865,8
1744-JHKYS,Month-to-month,No,Electronic check,34,24-48m,24.7,780.2,0,0,0.11320065814218523,7
2656-FMOKZ,Month-to-month,Fiber optic,Mailed check,15,12-24m,74.45,1145.7,0,1,0.6211731628945604,2
