contribution_margin,offer_discount,breakeven_save_rate
0.5,0.05,0.06861537734381608
0.5,0.1,0.12375086259509338
0.5,0.15,0.1788863478463707
0.5,0.2,0.234021833097648
0.5,0.25,0.28915731834892533
0.55,0.05,0.06237761576710552
0.55,0.1,0.11250078417735761
0.55,0.15,0.1626239525876097
0.55,0.2,0.2127471209978618
0.55,0.25,0.2628702894081139
0.6,0.05,0.05717948111984673
0.6,0.1,0.10312571882924448
0.6,0.15,0.14907195653864222
0.6,0.2,0.19501819424803998
0.6,0.25,0.24096443195743775
0.65,0.05,0.052781059495243136
0.65,0.1,0.09519297122699491
0.65,0.15,0.13760488295874668
0.65,0.2,0.18001679469049844
0.65,0.25,0.2224287064222502
0.7,0.05,0.049010983817011494
0.7,0.1,0.08839347328220958
0.7,0.15,0.12777596274740766
0.7,0.2,0.16715845221260572
0.7,0.25,0.20654094167780382
0.75,0.05,0.04574358489587738
0.75,0.1,0.08250057506339559
0.75,0.15,0.11925756523091378
0.75,0.2,0.15601455539843198
0.75,0.25,0.1927715455659502
