tenure_month,at_risk,events,hazard,survival,survival_se,survival_lo,survival_hi
0,7043,0,0.0,1.0,0.0,1.0,1.0
1,7032,380,0.0540386803185438,0.9459613196814562,0.0026961846106099726,0.9406767978446607,0.9512458415182518
2,6419,123,0.019161863218569872,0.9278349382636624,0.003100575612421912,0.9217578100633155,0.9339120664640093
3,6181,94,0.01520789516259505,0.9137245217943558,0.0033777658456345173,0.9071041007369122,0.9203449428517995
4,5981,83,0.013877278047149307,0.901044512546917,0.003606258050233673,0.893976246768459,0.908112778325375
5,5805,64,0.011024978466838932,0.8911105161984239,0.003774236097177032,0.8837130134479568,0.8985080189488909
6,5672,40,0.007052186177715092,0.8848262389332727,0.0038762085404208256,0.8772288701940479,0.8924236076724975
7,5562,51,0.009169363538295576,0.8767129454802708,0.004003695602998959,0.8688657020983929,0.8845601888621487
8,5431,42,0.007733382434174185,0.8699329889878805,0.004107142450900623,0.8618829897841153,0.8779829881916458
9,5308,46,0.008666164280331574,0.8623940067924316,0.004219286264967643,0.854124205713095,0.8706638078717682
10,5189,45,0.008672191173636538,0.8549151610985293,0.004327484668542718,0.8464332911481856,0.863397031048873
11,5073,31,0.006110782574413562,0.8496909604294864,0.0044015865413801715,0.8410638508083813,0.8583180700505916
12,4974,38,0.007639726578206675,0.8431995538158313,0.004492160254841062,0.8343949197163428,0.8520041879153198
13,4857,38,0.007823759522338892,0.8366025632774328,0.004582716455509825,0.8276204390246336,0.845584687530232
14,4748,24,0.005054759898904802,0.8323737381892571,0.004640136930109173,0.8232790698062431,0.8414684065722711
15,4672,37,0.007919520547945206,0.8257817372660973,0.0047282488336118705,0.816514369552218,0.8350491049799765
16,4573,28,0.006122895254756178,0.8207255621855264,0.004794877070352862,0.8113276031276347,0.830123521243418
17,4493,26,0.005786779434676163,0.8159762043807581,0.00485675442919412,0.8064569656995376,0.8254954430619786
18,4406,24,0.005447117566954153,0.8115314860636591,0.004914310987925994,0.8018994365273242,0.821163535599994
19,4309,19,0.004409375725226271,0.8079531388287532,0.004960735660080577,0.7982300969349952,0.8176761807225111
20,4236,18,0.00424929178470255,0.8045199101935036,0.005005222859400883,0.7947096733890778,0.8143301469979293
21,4165,17,0.004081632653061225,0.8012361554580198,0.005047759189246321,0.7913425474470971,0.8111297634689426
