decile,customers,churners,churn_rate,mean_probability,monthly_revenue,lift_vs_base,churn_revenue_monthly,cumulative_churners_pct,cumulative_base_pct,cumulative_churn_revenue_pct
1,705,540,0.7659574468085106,0.7429260835629992,59458.6,2.8863768313923703,45425.25,0.28892455858747995,0.10009938946471673,0.32649300999742326
2,704,412,0.5852272727272727,0.6021674050336278,55803.3,2.2053267425458434,32497.55,0.5093632958801498,0.20005679397983814,0.560068453545709
3,704,290,0.4119318181818182,0.46164178982449733,50357.45,1.5522930954812975,20215.95,0.6645264847512039,0.3000141984949595,0.7053701605359272
4,704,241,0.34232954545454547,0.3280126596943095,48373.05,1.2900090896930785,16658.05,0.7934724451578384,0.39997160301008094,0.8250995375935675
5,705,147,0.20851063829787234,0.2223736359111149,44926.2,0.7857359152123674,9162.55,0.8721241305510968,0.5000709924747977,0.890955169180667
6,704,117,0.16619318181818182,0.14708943281271242,38496.1,0.6262699730045235,6427.45,0.9347244515783841,0.600028396989919,0.9371523281860206
7,704,59,0.08380681818181818,0.08598127704186972,45694.0,0.315811353908264,4262.1,0.9662921348314607,0.6999858015050404,0.9677860805134159
8,704,38,0.05397727272727273,0.045896503922773196,43735.8,0.20340392285617004,3021.3,0.9866238630283574,0.7999432060201619,0.9895016094561341
9,704,17,0.024147727272727272,0.023072257712799794,40633.2,0.09099649180407607,958.15,0.9957196361690743,0.8999006105352833,0.9963882920286907
10,705,8,0.011347517730496455,0.0093233155788876,28638.9,0.04276113824284993,502.5,1.0,1.0,0.9999999999999998
